JuvenileWeight,JuvenileLength,JuvenileLipid,JuvenileProtein,AdultWeight,AdultLength,AdultLipid,Adult protein
20.71,31.332,0.06,2.734148685,29.84,32.884,0.51,4.2
20.66,32.619,0.06,2.501809045,33.58,33.565,0.6,5.760015765
19.37,31.412,0.02,3.22635235,27.23,32.371,0.46,4.316126219
23.09,31.345,0.1,2.405595625,30.51,32.542,0.51,4.636501626
21.06,31.199,0.03,2.095896147,36.45,34.991,1.04,4.754776825
22.27,33.102,0.11,2.998467337,34.67,33.741,0.02,4.79196374
22.38,31.568,0.11,1.973122968,30.51,32.943,0.34,5.285462607
19.45,30.889,0.09,3.548467337,25.16,30.452,0.51,2.950907971
22.39,31.412,0.11,2.896482412,31.47,34.234,0.76,4.724396492
19.46,30.937,0.2,3.197337669,26.17,30.419,0.21,3.254738398
24.34,32.341,0.05,2.1,26.56,30.335,0.5,3.811317371
20.01,32.502,0.09,2.55757316,27.45,30.627,0.8,4.055362597
17.9,31.596,0.11,2.968504286,29.12,31.776,0.41,4.088371268
21.43,30.669,0.02,2.218989063,27.83,32.337,0.43,4.931314415
19.75,30.636,0.15,2.97079663,25.34,31.837,0.35,4.644083161
23.09,31.116,0.2,2.444841856,30.25,31.469,0.12,3.158069761
18.36,31.199,0.03,2.470832594,30.55,32.13,0.72,5.200857227
20.48,30.738,0.05,2.404901961,33.42,32.686,1.08,5.016873584
22.69,30.325,0.11,3.124611292,35.17,32.927,1.47,5.584247709
17.08,31.802,,,37.08,32.892,,
19.22,30.79,,,32.82,31.639,,
21.8,29.44,,,29.91,31.349,,
21.57,31.196,,,30.63,31.722,,
21.12,30.043,,,29.34,32.746,,
22.9,30.399,,,31.92,32.774,,
21.39,32.237,,,28.09,32.232,,
22.75,30.671,,,26.56,31.165,,
,30.879,,,26.68,31.528,,
,31.436,,,31.12,32.224,,
,30.334,,,27.23,31.289,,
,29.881,,,26.76,30.815,,
,,,,29.05,32.688,,
,,,,30.35,32.946,,
,,,,29.12,31.675,,
,,,,28.15,31.968,,
,,,,30.15,32.552,,
,,,,26.65,33.568,,
,,,,29.14,31.823,,
,,,,30.01,32.451,,
,,,,29.73,31.659,,
,,,,30.13,32.751,,
,,,,31.07,33.112,,
,,,,31.09,32.995,,
,,,,28.59,31.789,,
,,,,28.35,32.593,,
,,,,32.08,33.202,,
