Wavelength,Juvenile 01,Juvenile 02,Juvenile 03,Juvenile 04,Juvenile 05,Juvenile 06,Juvenile 07,Juvenile 08,Juvenile 09,Juvenile 10,Juvenile 11,Juvenile 12,Juvenile 13,Juvenile 14,Juvenile 15,Juvenile 16,Juvenile 17,Adult 01,Adult 02,Adult 03,Adult 04,Adult 05,Adult 06,Adult 07,Adult 8,Adult 9,Adult 10,Adult 11,Adult 12,Adult 13,Adult 14,Adult 15,Adult 16,Adult 17,Background 1,Background 2,Background 3,Background 4,Background 5,Background 7,Background 8,Background 9,Background 10,Background 11,Background 12,Background 13,Background 14,Background 15,Background 16,Background 17,Background 18,Background 19,Background 21,Background 22,Background 24,Background 25,Background 26,Background 27,Background 28,Background 29,Background 30,Background 31,Background 32,Background 33
300.032,1.15,3.636666667,0.773333333,0.353333333,1.543333333,3.71,3.793333333,2.343333333,4.203333333,1.646666667,3.606666667,1.446666667,1.376666667,1.36,2.3,1.536666667,0.64,3.273333333,3.633333333,2.08,3.573333333,3.595,2.933333333,4.213333333,3.14,4.713333333,3.576666667,5.19,4.493333333,5.133333333,4.653333333,4.495,3.015,5.156666667,1.64,2.616666667,3.16,2.556666667,3.586666667,3.946666667,2.213333333,4.463333333,3.283333333,4.636666667,2.746666667,3.223333333,0.52,5.983333333,2.266666667,0.943333333,1.443333333,1.076666667,3.95,3.04,2.1,3.096666667,3.99,7.42,0.986666667,4.453333333,1.113333333,4.09,3.736666667,1.6
300.403,1.146666667,3.633333333,0.783333333,0.366666667,1.546666667,3.69,3.796666667,2.353333333,4.2,1.66,3.576666667,1.443333333,1.396666667,1.38,2.296666667,1.55,0.64,3.273333333,3.643333333,2.073333333,3.58,3.61,2.943333333,4.213333333,3.143333333,4.726666667,3.556666667,5.203333333,4.495555556,5.133333333,4.626666667,4.49,2.975,5.153333333,1.64,2.623333333,3.163333333,2.563333333,3.586666667,3.96,2.226666667,4.456666667,3.29,4.656666667,2.753333333,3.233333333,0.53,6.006666667,2.29,0.946666667,1.49,1.083333333,4.01,3.05,2.146666667,3.13,4.013333333,7.42,0.996666667,4.47,1.146666667,4.11,3.76,1.605
300.774,1.113333333,3.61,0.786666667,0.39,1.53,3.63,3.76,2.346666667,4.163333333,1.673333333,3.55,1.42,1.393333333,1.403333333,2.283333333,1.56,0.62,3.256666667,3.623333333,2.07,3.553333333,3.625,2.943333333,4.21,3.113333333,4.733333333,3.543333333,5.19,4.488888889,5.116666667,4.58,4.49,2.965,5.15,1.63,2.62,3.15,2.553333333,3.573333333,3.976666667,2.226666667,4.483333333,3.29,4.656666667,2.766666667,3.23,0.533333333,6.016666667,2.283333333,0.95,1.476666667,1.073333333,4.02,3.066666667,2.133333333,3.126666667,4.006666667,7.39,1.003333333,4.47,1.146666667,4.12,3.776666667,1.59
301.145,1.106666667,3.543333333,0.77,0.363333333,1.526666667,3.61,3.723333333,2.326666667,4.11,1.65,3.52,1.383333333,1.373333333,1.37,2.23,1.51,0.635,3.216666667,3.613333333,2.046666667,3.516666667,3.595,2.896666667,4.183333333,3.093333333,4.676666667,3.52,5.14,4.445555556,5.083333333,4.556666667,4.44,2.945,5.123333333,1.62,2.593333333,3.146666667,2.536666667,3.546666667,3.976666667,2.206666667,4.493333333,3.256666667,4.633333333,2.756666667,3.22,0.51,6.013333333,2.263333333,0.943333333,1.45,1.023333333,4.016666667,3.033333333,2.073333333,3.073333333,3.983333333,7.363333333,0.956666667,4.443333333,1.11,4.086666667,3.74,1.555
301.516,1.12,3.56,0.74,0.366666667,1.55,3.626666667,3.743333333,2.33,4.1,1.656666667,3.503333333,1.366666667,1.35,1.363333333,2.24,1.52,0.64,3.203333333,3.6,2.043333333,3.5,3.575,2.876666667,4.16,3.07,4.676666667,3.513333333,5.09,4.426666667,5.07,4.53,4.425,2.935,5.153333333,1.6,2.583333333,3.146666667,2.543333333,3.556666667,3.966666667,2.22,4.493333333,3.24,4.636666667,2.743333333,3.213333333,0.5,5.99,2.253333333,0.946666667,1.443333333,1.013333333,3.983333333,3.03,2.046666667,3.04,3.963333333,7.33,0.933333333,4.44,1.07,4.066666667,3.733333333,1.55
301.887,1.153333333,3.57,0.753333333,0.366666667,1.58,3.603333333,3.736666667,2.336666667,4.11,1.676666667,3.526666667,1.376666667,1.366666667,1.386666667,2.25,1.533333333,0.69,3.203333333,3.603333333,2.053333333,3.53,3.5975,2.876666667,4.143333333,3.07,4.666666667,3.54,5.113333333,4.44,5.096666667,4.523333333,4.43,2.95,5.16,1.61,2.58,3.14,2.553333333,3.563333333,3.976666667,2.223333333,4.493333333,3.233333333,4.636666667,2.756666667,3.21,0.483333333,5.986666667,2.266666667,0.943333333,1.466666667,1.013333333,3.96,3,2.036666667,3.01,3.98,7.293333333,0.943333333,4.453333333,1.056666667,4.07,3.723333333,1.55
302.258,1.143333333,3.516666667,0.756666667,0.37,1.55,3.58,3.72,2.293333333,4.06,1.663333333,3.49,1.37,1.346666667,1.39,2.2,1.52,0.68,3.16,3.59,2.03,3.46,3.57,2.836666667,4.11,3.026666667,4.66,3.47,5.086666667,4.405555556,5.096666667,4.483333333,4.4,2.9,5.14,1.65,2.596666667,3.163333333,2.603333333,3.586666667,4.013333333,2.28,4.52,3.273333333,4.666666667,2.796666667,3.25,0.51,6.02,2.3,0.986666667,1.513333333,1.086666667,3.996666667,3.04,2.093333333,3.07,4.053333333,7.326666667,1.01,4.51,1.123333333,4.1,3.76,1.6325
302.629,1.103333333,3.516666667,0.743333333,0.37,1.516666667,3.53,3.716666667,2.293333333,4.053333333,1.65,3.46,1.33,1.33,1.376666667,2.156666667,1.483333333,0.675,3.113333333,3.553333333,2.013333333,3.45,3.565,2.823333333,4.076666667,2.99,4.626666667,3.44,5.046666667,4.371111111,5.056666667,4.44,4.38,2.89,5.133333333,1.62,2.59,3.136666667,2.586666667,3.566666667,4.023333333,2.28,4.52,3.266666667,4.653333333,2.793333333,3.243333333,0.503333333,6.006666667,2.266666667,0.98,1.51,1.086666667,4.006666667,3.03,2.076666667,3.063333333,4.053333333,7.313333333,1.02,4.516666667,1.1,4.13,3.756666667,1.5975
303,1.06,3.453333333,0.723333333,0.35,1.46,3.496666667,3.676666667,2.24,3.96,1.586666667,3.443333333,1.273333333,1.306666667,1.356666667,2.106666667,1.426666667,0.67,3.046666667,3.52,1.976666667,3.423333333,3.505,2.786666667,4.04,2.913333333,4.573333333,3.41,4.983333333,4.322222222,5.016666667,4.35,4.345,2.86,5.11,1.62,2.596666667,3.123333333,2.596666667,3.573333333,4.01,2.27,4.533333333,3.246666667,4.663333333,2.79,3.26,0.516666667,6,2.25,0.973333333,1.5,1.116666667,4.026666667,3.036666667,2.066666667,3.053333333,4.02,7.303333333,1,4.536666667,1.08,4.136666667,3.736666667,1.58
303.371,1.036666667,3.426666667,0.693333333,0.35,1.423333333,3.496666667,3.676666667,2.23,3.923333333,1.606666667,3.406666667,1.266666667,1.29,1.35,2.096666667,1.413333333,0.68,3.026666667,3.48,1.953333333,3.383333333,3.4725,2.763333333,4.053333333,2.86,4.56,3.38,4.966666667,4.302222222,4.983333333,4.276666667,4.31,2.84,5.076666667,1.65,2.626666667,3.133333333,2.62,3.593333333,4.03,2.276666667,4.54,3.26,4.673333333,2.813333333,3.256666667,0.54,6.013333333,2.256666667,0.993333333,1.556666667,1.17,4.023333333,3.053333333,2.063333333,3.073333333,4.026666667,7.3,1.023333333,4.553333333,1.053333333,4.16,3.756666667,1.5875
