response,condition,morph,type,id,trial,Attack,Passby
0,conspecificPassby,red,conspecific,1,1,1,0
1,conspecificPassby,red,conspecific,1,2,1,1
1,conspecificPassby,red,conspecific,1,3,1,1
5,conspecificPassby,red,conspecific,2,1,3,5
3,conspecificPassby,red,conspecific,2,2,3,3
1,conspecificPassby,red,conspecific,2,3,0,1
3,conspecificPassby,red,conspecific,3,1,4,3
10,conspecificPassby,red,conspecific,3,2,1,10
2,conspecificPassby,red,conspecific,4,1,3,2
5,conspecificPassby,red,conspecific,4,2,1,5
3,conspecificPassby,red,conspecific,5,1,2,3
0,conspecificPassby,red,conspecific,5,2,2,0
2,conspecificPassby,red,conspecific,6,1,0,2
1,conspecificPassby,red,conspecific,6,2,0,1
1,conspecificPassby,red,conspecific,6,3,0,1
0,conspecificPassby,red,conspecific,7,1,0,0
5,conspecificPassby,red,conspecific,7,2,0,5
0,conspecificPassby,red,conspecific,7,3,0,0
11,conspecificPassby,red,conspecific,8,1,1,11
9,conspecificPassby,red,conspecific,8,2,0,9
1,conspecificPassby,red,conspecific,8,3,0,1
9,conspecificPassby,red,conspecific,9,1,0,9
10,conspecificPassby,red,conspecific,9,2,0,10
19,conspecificPassby,red,conspecific,9,3,1,19
13,conspecificPassby,red,conspecific,10,1,4,13
4,conspecificPassby,red,conspecific,10,2,0,4
4,conspecificPassby,red,conspecific,10,3,0,4
2,conspecificPassby,red,conspecific,11,1,0,2
0,conspecificPassby,red,conspecific,12,1,0,0
0,conspecificPassby,red,conspecific,12,2,0,0
0,conspecificPassby,red,conspecific,12,3,0,0
0,conspecificPassby,red,conspecific,13,1,0,0
6,conspecificPassby,red,conspecific,13,2,1,6
6,conspecificPassby,red,conspecific,13,3,0,6
0,conspecificPassby,red,conspecific,14,1,0,0
3,conspecificPassby,red,conspecific,14,2,3,3
2,conspecificPassby,red,conspecific,14,3,0,2
6,conspecificPassby,red,conspecific,15,1,3,6
3,conspecificPassby,red,conspecific,15,2,1,3
0,conspecificPassby,red,conspecific,15,3,0,0
9,conspecificPassby,red,conspecific,16,1,0,9
3,conspecificPassby,red,conspecific,16,2,0,3
10,conspecificPassby,red,conspecific,16,3,1,10
16,conspecificPassby,red,conspecific,17,1,0,16
0,conspecificPassby,red,conspecific,17,2,1,0
9,conspecificPassby,red,conspecific,18,1,3,9
3,conspecificPassby,red,conspecific,18,2,4,3
0,conspecificPassby,red,conspecific,18,3,0,0
0,conspecificPassby,yellow,conspecific,1,1,0,0
0,conspecificPassby,yellow,conspecific,1,2,0,0
1,conspecificPassby,yellow,conspecific,1,3,5,1
2,conspecificPassby,yellow,conspecific,2,1,0,2
1,conspecificPassby,yellow,conspecific,2,2,1,1
6,conspecificPassby,yellow,conspecific,2,3,4,6
2,conspecificPassby,yellow,conspecific,3,1,2,2
2,conspecificPassby,yellow,conspecific,3,2,5,2
3,conspecificPassby,yellow,conspecific,4,1,4,3
1,conspecificPassby,yellow,conspecific,4,2,3,1
4,conspecificPassby,yellow,conspecific,5,1,7,4
3,conspecificPassby,yellow,conspecific,5,2,1,3
0,conspecificPassby,yellow,conspecific,6,1,0,0
0,conspecificPassby,yellow,conspecific,6,2,0,0
0,conspecificPassby,yellow,conspecific,6,3,0,0
1,conspecificPassby,yellow,conspecific,7,1,2,1
0,conspecificPassby,yellow,conspecific,7,2,14,0
0,conspecificPassby,yellow,conspecific,7,3,9,0
2,conspecificPassby,yellow,conspecific,8,1,6,2
5,conspecificPassby,yellow,conspecific,8,2,10,5
2,conspecificPassby,yellow,conspecific,8,3,3,2
5,conspecificPassby,yellow,conspecific,9,1,11,5
4,conspecificPassby,yellow,conspecific,9,2,14,4
1,conspecificPassby,yellow,conspecific,9,3,22,1
4,conspecificPassby,yellow,conspecific,10,1,10,4
3,conspecificPassby,yellow,conspecific,10,2,1,3
2,conspecificPassby,yellow,conspecific,10,3,1,2
1,conspecificPassby,yellow,conspecific,11,1,1,1
0,conspecificPassby,yellow,conspecific,12,1,1,0
0,conspecificPassby,yellow,conspecific,12,2,0,0
0,conspecificPassby,yellow,conspecific,12,3,0,0
0,conspecificPassby,yellow,conspecific,13,1,0,0
1,conspecificPassby,yellow,conspecific,13,2,8,1
1,conspecificPassby,yellow,conspecific,13,3,9,1
1,conspecificPassby,yellow,conspecific,14,1,6,1
7,conspecificPassby,yellow,conspecific,14,2,3,7
1,conspecificPassby,yellow,conspecific,14,3,10,1
0,conspecificPassby,yellow,conspecific,15,1,2,0
0,conspecificPassby,yellow,conspecific,15,2,1,0
2,conspecificPassby,yellow,conspecific,15,3,3,2
4,conspecificPassby,yellow,conspecific,16,1,2,4
3,conspecificPassby,yellow,conspecific,16,2,0,3
